Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-01-03 05:30:33,32.3182,-86.9023,369458,4872,202137,162449,1,7535.06139376752,1891468,,1.31868845714533,84000001,USA,38576.3131515535,
Alaska,US,2021-01-03 05:30:33,61.3707,-152.4044,47801,215,7165,40421,2,6534.25284842354,1290349,,0.449781385326667,84000002,USA,176386.825144044,
American Samoa,US,2021-01-03 05:30:33,-14.271,-170.132,0,0,,0,60,0,2140,,,16,ASM,3846.08472169803,
Arizona,US,2021-01-03 05:30:33,33.7298,-111.4312,539150,9061,77867,452222,4,7407.21201277643,2905383,,1.68060836501901,84000004,USA,39916.1418145533,
Arkansas,US,2021-01-03 05:30:33,34.9697,-92.3731,231442,3729,203701,24012,5,7669.21907453234,2079788,,1.61120280675072,84000005,USA,68917.2656673528,
California,US,2021-01-03 05:30:33,36.1162,-119.6816,2388557,26542,,2362015,6,6045.1091299014,33391442,,1.11121484645332,84000006,USA,84509.1454358313,
Colorado,US,2021-01-03 05:30:33,39.0598,-105.3111,339172,4912,18217,316043,8,5889.69523867738,4474747,,1.44823275506233,84000008,USA,77703.631491355,
Connecticut,US,2021-01-03 05:30:33,41.5978,-72.7554,190120,6099,9800,174221,9,5332.53003194413,4383361,,3.20797391121397,84000009,USA,122945.530051297,
Delaware,US,2021-01-03 05:30:33,39.3185,-75.5071,58873,930,18851,39092,10,6045.92077751899,991318,,1.57967149627164,84000010,USA,101802.695519654,
Diamond Princess,US,2021-01-03 05:30:33,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,2021-01-03 05:30:33,38.8974,-77.0268,29509,792,21002,7715,11,4181.23157099762,911378,,2.68392693754448,84000011,USA,129136.27932877,
Florida,US,2021-01-03 05:30:33,27.7663,-81.6868,1354833,21890,,1332943,12,6308.08078150878,15950750,,1.61569728520046,84000012,USA,74266.4369155838,
Georgia,US,2021-01-03 05:30:33,33.0406,-83.6431,685122,10960,,674162,13,6452.80874652917,5436988,,1.59971508723994,84000013,USA,51208.1698167248,
Grand Princess,US,2021-01-03 05:30:33,,,103,3,,100,99999,,,,2.9126213592233,84099999,USA,,
Guam,US,2021-01-03 05:30:33,13.4443,144.7937,7326,122,7047,157,66,4460.84430886141,96201,,1.66530166530167,316,GUM,58577.3523555523,
Hawaii,US,2021-01-03 05:30:33,21.0943,-157.4983,22181,289,11958,9934,15,1566.59641549519,822805,,1.30291691086966,84000015,USA,58112.9508882159,
Idaho,US,2021-01-03 05:30:33,44.2405,-114.4788,142199,1448,58649,82102,16,7957.12523047567,545485,,1.01829126787108,84000016,USA,30524.0715922476,
Illinois,US,2021-01-03 05:30:33,40.3495,-88.9861,975352,18214,,957138,17,7697.01529085678,13436652,,1.86742837457656,84000017,USA,106035.683427031,
Indiana,US,2021-01-03 05:30:33,39.8494,-86.2583,523090,8410,347401,167279,18,7769.94925447316,5769273,,1.60775392379896,84000018,USA,85696.4546162268,
Iowa,US,2021-01-03 05:30:33,42.0115,-93.2105,283895,3946,243214,36735,19,8998.05709540517,1175920,,1.38995050987161,84000019,USA,37270.8054020988,
Kansas,US,2021-01-03 05:30:33,38.5266,-96.7265,230314,2872,4612,222830,20,7905.56733671688,1012506,,1.24699323532221,84000020,USA,34754.4411621954,
Kentucky,US,2021-01-03 05:30:33,37.6681,-84.6701,273970,2698,37273,233999,21,6132.27512398513,3210804,,0.984779355403876,84000021,USA,71867.4800058106,
Louisiana,US,2021-01-03 05:30:33,31.1695,-91.8678,315275,7488,263712,44075,22,6781.86643675758,4214182,,2.37506938387122,84000022,USA,90651.0806888841,
Maine,US,2021-01-03 05:30:33,44.6939,-69.3819,25245,358,11438,13449,23,1878.05197394459,1112457,,1.41810259457318,84000023,USA,82759.0439603277,
Maryland,US,2021-01-03 05:30:33,39.0639,-76.8021,283171,5967,9374,267830,24,4683.85690278017,5807666,,2.10720730583287,84000024,USA,96063.0731365207,
Massachusetts,US,2021-01-03 05:30:33,42.2302,-71.5301,384181,12502,261672,110007,25,5573.89673968949,11046093,,3.25419528815845,84000025,USA,160262.432965209,
